TradingDay,InstrumentID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,UpdateTime,UpdateMillisec,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AveragePrice,ActionDay
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:10,500,70310.0,35,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:11,0,70310.0,30,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:11,500,70310.0,35,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:12,0,70310.0,30,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:12,500,70310.0,35,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:13,0,70310.0,30,70360.0,5,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:14,0,70310.0,35,70350.0,20,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:15,0,70320.0,5,70350.0,20,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:16,0,70320.0,5,70350.0,20,351249.09611328715,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:17,0,70320.0,15,70350.0,20,351249.09611328715,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:24,0,70310.0,30,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:24,500,70310.0,35,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:26,500,70310.0,30,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:27,0,70310.0,35,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:28,0,70320.0,5,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:28,500,70320.0,5,70350.0,20,351249.2018072289,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16600,5830736750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:30,0,70310.0,30,70350.0,20,351249.2018072289,20211013
